Designator,Footprint,Quantity,Value,LCSC Part #
BUCKCONVERTER1,BuckConverter,1,~,
"DRV8833_1, DRV8833_2",DRV8833,2,~,
ESP32,ESP32DevKit,1,~,
ESP32IO1,Header_10x2,1,ESP32IO,
J2,Header_3x2,1,Port1Debug,
J3,Header_3x2,1,Port2Debug,
J6,Header_3x2,1,Port3Debug,
J7,Header_3x2,1,Port4Debug,
MPU6050,MPU6050,1,~,
"PORT1, PORT2, PORT3, PORT4",LegoWedoConnector,4,~,
"R1, R2, R3, R4",Resistor,4,1k,
"SC16IS752_UART1, SC16IS752_UART2",SC16IS752,2,~,
SDCARDREADER1,SDCardReader,1,~,
U1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,~,
UART1_I2C_ADR1,Header_4x2,1,UART1_I2C_ADR,
UART2_I2C_ADR1,Header_4x2,1,UART2_I2C_ADR,
UARTIO1,Header_6x2,1,UARTIO,
USBPWR1,Jumper,1,USBPWR,
