Designator,Mid X,Mid Y,Rotation,Layer
BUCKCONVERTER1,117.3375,-72.14,90.0,top
DRV8833_1,59.8,-74.46,90.0,top
DRV8833_2,59.8,-112.54,90.0,top
ESP32,57.75,-48.56,270.0,top
ESP32IO1,113.120027,-57.920006,90.0,top
J2,41.37,-72.06,180.0,top
J3,41.37,-86.8525,180.0,top
J6,41.37,-100.8625,180.0,top
J7,41.37,-114.83,180.0,top
MPU6050,111.94,-111.41,270.0,top
PORT1,34.615,-72.355,270.0,top
PORT2,34.585,-86.885,270.0,top
PORT3,34.445,-101.085,270.0,top
PORT4,34.305,-115.285,270.0,top
R1,73.515,-70.93,0.0,top
R2,64.7375,-85.46,270.0,top
R3,73.515,-116.75,0.0,top
R4,65.01,-101.345,90.0,top
SC16IS752_UART1,89.38,-79.2925,0.0,top
SC16IS752_UART2,89.38,-108.51,0.0,top
SDCARDREADER1,109.76,-43.71,270.0,top
U1,122.89,-91.75,270.0,top
UART1_I2C_ADR1,110.71,-88.63,90.0,top
UART2_I2C_ADR1,110.71,-94.2,90.0,top
UARTIO1,51.915,-93.035,180.0,top
USBPWR1,97.780043,-35.74,0.0,top
